,PartNumber,Info
"
101,102,"0,102;-4.11029,-0.824756,1.33865/-4.11029,-0.824756,1.33865/-4.11029,-0.824756,1.33865;1,24,1,0;40.625964707308;1,0,1;0,1,0;3,1,2;
"
102,103,"2,103;0.138715,2.15893,1.73546/0.138715,2.15893,1.73546/0.138715,2.15893,1.73546;1,30,1,0;40.119444028818;0,1,0;0,1,0;2,1,1/2,2,0/2,8,0;
"
103,103,"0,103;0.133848,2.1629,1.72994/0.133848,2.1629,1.72994/0.133848,2.1629,1.72994;1,30,1,0;40.119425841935;1,0,1;1,0,0;4,1,2;
"
104,106,"2,106;0.290595,0.592662,3.95173/0.290595,0.592662,3.95173/0.290595,0.592662,3.95173;1,46,1,0;40.262711585789;0,1,0;1,0,0;1,1,1;
"
105,110,"2,110;0.278713,-3.58591,1.14704/0.278713,-3.58591,1.14704/0.278713,-3.58591,1.14704;1,18,1,0;40.94902200871;1,0,1;1,0,0;4,1,2;
"
106,110,"0,110;1.05965,-1.715,0.494377/1.05965,-1.715,0.494377/1.05965,-1.715,0.494377;1,19,1,0;40.416655111173;1,0,1;0,1,0;2,5,0/3,1,2/4,8,0;
"
107,111,"2,111;-0.0619057,0.134971,2.92355/-0.0619057,0.134971,2.92355/-0.0619057,0.134971,2.92355;1,37,1,0;40.992144923676;0,1,0;1,0,0;4,1,1;
"
108,112,"2,112;-2.39255,0.393685,-2.92548/-2.39255,0.393685,-2.92548/-2.39255,0.393685,-2.92548;1,2,1,0;40.590029862766;1,0,1;0,1,0;3,1,2;
"
109,112,"0,112;-1.73223,-0.645315,-1.91859/-1.73223,-0.645315,-1.91859/-1.73223,-0.645315,-1.91859;1,5,1,0;40.958263106976;1,0,1;1,0,0;4,1,2;
"
110,112,"0,112;-1.79473,-0.548884,-2.01161/-1.79473,-0.548884,-2.01161/-1.79473,-0.548884,-2.01161;1,5,1,0;40.967456697259;0,1,0;1,0,0;4,1,1;
"
111,113,"2,113;1.82452,-1.26403,-1.96806/1.82452,-1.26403,-1.96806/1.82452,-1.26403,-1.96806;1,8,1,0;40.0975690159657;1,0,1;1,0,0;2,4,0/4,1,2;
"
112,114,"2,114;-2.78093,-1.17521,1.11104/-2.78093,-1.17521,1.11104/-2.78093,-1.17521,1.11104;1,21,1,0;40.62072228916;1,0,1;1,0,0;1,1,2;
"
113,115,"2,115;0.417785,-0.568906,-3.64141/0.417785,-0.568906,-3.64141/0.417785,-0.568906,-3.64141;1,1,1,0;40.779046887311;1,0,1;0,1,0;2,1,0/2,2,0/3,1,2;
"
114,118,"2,118;-2.45738,-0.609943,2.00192/-2.45738,-0.609943,2.00192/-2.45738,-0.609943,2.00192;1,30,1,0;40.575117274714;1,0,1;0,1,0;2,1,2/2,9,0/2,10,0;
"
115,120,"2,120;-2.02169,0.840757,1.92368/-2.02169,0.840757,1.92368/-2.02169,0.840757,1.92368;1,30,1,0;40.853081590627;1,0,1;0,1,0;3,1,2;
"
116,120,"0,120;-1.66663,0.795511,1.89785/-1.66663,0.795511,1.89785/-1.66663,0.795511,1.89785;1,30,1,0;40.855374696561;1,0,1;0,1,0;3,1,2;
"
117,120,"0,120;-1.99421,0.83224,1.92149/-1.99421,0.83224,1.92149/-1.99421,0.83224,1.92149;1,30,1,0;40.853031374566;1,0,1;1,0,0;4,1,2;
"
118,121,"2,121;-0.219064,-2.08875,-1.99056/-0.219064,-2.08875,-1.99056/-0.219064,-2.08875,-1.99056;1,5,1,0;40.826739407234;1,0,1;1,0,0;4,1,2;
"
119,121,"0,121;-1.67971,3.40456,1.64661/-1.67971,3.40456,1.64661/-1.67971,3.40456,1.64661;1,29,1,0;40.480302026956;1,0,1;1,0,0;4,1,2;
"
120,125,"2,125;0.432498,0.780208,-3.73562/0.432498,0.780208,-3.73562/0.432498,0.780208,-3.73562;1,1,1,0;40.546745389664;1,0,1;1,0,0;1,1,2/3,1,0/4,1,0;
"
121,125,"0,125;0.432825,0.783741,-3.73531/0.432825,0.783741,-3.73531/0.432825,0.783741,-3.73531;1,1,1,0;40.546745445038;0,1,0;1,0,0;1,1,1/3,1,0;
"
122,126,"2,126;0.1295,1.09489,2.75847/0.1295,1.09489,2.75847/0.1295,1.09489,2.75847;1,38,1,0;40.862731849716;1,0,1;0,1,0;3,1,2;
"
123,127,"2,127;-0.476447,-2.69018,2.58267/-0.476447,-2.69018,2.58267/-0.476447,-2.69018,2.58267;1,33,1,0;40.972004108574;1,0,1;1,0,0;1,1,2;
"
124,128,"2,128;1.37527,1.05715,3.57308/1.37527,1.05715,3.57308/1.37527,1.05715,3.57308;1,45,1,0;40.121053205526;1,0,1;0,1,0;3,1,2;
"
125,130,"2,130;0.0293954,-3.32745,0.175456/0.0293954,-3.32745,0.175456/0.0293954,-3.32745,0.175456;1,15,1,0;40.827034062781;1,0,1;1,0,0;1,1,2;
"
126,133,"2,133;-1.92528,2.42969,-2.62853/-1.92528,2.42969,-2.62853/-1.92528,2.42969,-2.62853;1,6,1,0;40.0779869702147;1,0,1;1,0,0;1,1,2;
"
127,136,"2,136;-4.11411,-0.269892,-0.80143/-4.11411,-0.269892,-0.80143/-4.11411,-0.269892,-0.80143;1,10,1,0;40.356110703796;1,0,1;1,0,0;1,1,2;
"
128,136,"0,136;-4.09056,-0.353645,-0.800993/-4.09056,-0.353645,-0.800993/-4.09056,-0.353645,-0.800993;1,10,1,0;40.400236970617;1,0,1;1,0,0;1,1,2;
"
129,138,"2,138;-4.09923,-0.04819,-1.75166/-4.09923,-0.04819,-1.75166/-4.09923,-0.04819,-1.75166;1,6,1,0;40.776582041186;0,1,0;1,0,0;1,1,1;
"
130,139,"2,139;0.252739,-2.99063,1.71938/0.252739,-2.99063,1.71938/0.252739,-2.99063,1.71938;1,22,1,0;40.82324255243;1,0,1;0,1,0;2,1,2;
"
131,139,"0,139;0.255955,-2.98404,1.71704/0.255955,-2.98404,1.71704/0.255955,-2.98404,1.71704;1,22,1,0;40.823243665636;1,0,1;1,0,0;1,1,2;
"
132,140,"2,140;-0.320254,-0.167399,-3.46039/-0.320254,-0.167399,-3.46039/-0.320254,-0.167399,-3.46039;1,1,1,0;40.756348582725;1,0,1;0,1,0;3,1,2;
"
133,140,"0,140;-0.324736,-0.161963,-3.45432/-0.324736,-0.161963,-3.45432/-0.324736,-0.161963,-3.45432;1,1,1,0;40.756348293986;1,0,1;1,0,0;1,1,2;
"
134,141,"2,141;-0.702311,-1.65124,-0.140078/-0.702311,-1.65124,-0.140078/-0.702311,-1.65124,-0.140078;1,15,1,0;40.544020361858;1,0,1;1,0,0;4,1,2;
"
135,143,"2,143;1.08347,1.30275,-2.71438/1.08347,1.30275,-2.71438/1.08347,1.30275,-2.71438;1,3,1,0;40.725296787921;1,0,1;0,1,0;2,1,2;
"
136,143,"0,143;-1.86258,-0.188773,1.42483/-1.86258,-0.188773,1.42483/-1.86258,-0.188773,1.42483;1,23,1,0;40.742193115863;1,0,1;1,0,0;4,1,2;
"
137,145,"2,145;3.65403,0.0799689,2.70458/3.65403,0.0799689,2.70458/3.65403,0.0799689,2.70458;1,34,1,0;40.982803933455;1,0,1;1,0,0;4,1,2;
"
138,146,"2,146;-1.16821,-0.098665,2.898/-1.16821,-0.098665,2.898/-1.16821,-0.098665,2.898;1,37,1,0;40.859754250935;1,0,1;1,0,0;1,1,2;
"
139,146,"0,146;-0.50142,1.42386,3.09735/-0.50142,1.42386,3.09735/-0.50142,1.42386,3.09735;1,42,1,0;40.58448815678;1,0,1;1,0,0;4,1,2;
"
140,147,"2,147;-1.37021,1.84427,1.67075/-1.37021,1.84427,1.67075/-1.37021,1.84427,1.67075;1,29,1,0;40.305608018594;0,1,0;0,1,0;1,10,0/2,8,0/2,9,0/3,1,1/4,8,0;
